Title,Score
Aa! Megami-sama! (2011)Ah! My Goddess: Together Forever,7.33
Sweet II - Embrace Me Until I Break,7.2
Saint☆OniisanSaint☆Young Men,7.47
Persona 4 The Magician,7.27
Death Note: Tokubetsu-hen,7.0
Kao dake ja Suki ni Narimasen (It Takes More than a Pretty Face to Fall in Love),7.28
JoJo no Kimyou na Bouken (TV)JoJo's Bizarre Adventure (2012),7.88
Detroit Metal City,8.1
Lupin III: $1 Money WarsLupin III: Missed by a Dollar,7.1
Tensura Nikki: Tensei shitara Slime Datta KenThe Slime Diaries,7.59
The Silvery Crow,7.04
Glass no Kamen (2005)Glass Mask,8.04
Milk Crown H!,7.37
Mikakunin de Shinkoukei: Mite. Are ga Watashitachi no Tomatteiru Ryokan yo.,7.05
The Book: JoJo's Bizarre Adventure 4th Another Day,7.55
Tiger Mask W,6.92
Tsubasa: ShunraikiTsubasa RESERVoir CHRoNiCLE: Spring Thunder Chronicle,8.09
Higurashi no Naku Koro ni Kai: Matsuribayashi-hen (Higurashi WHEN THEY CRY: Festival Accompanying Arc),8.2
Saenai Ryman to Yankee Joshikousei (Dull Businessman and Naughty High School Girl),6.95
Hikikomari Kyuuketsuki no Monmon (The Vexations of a Shut-in Vampire Princess),7.29
Shumari,7.82
Space China Dress,6.97
Dororo to HyakkimaruDororo,7.24
Amanchu!,7.24
Digimon Adventure tri. 4: SoushitsuDigimon Adventure tri. Loss,7.27
Pokémon DP: Pocket Monsters Diamond Pearl Monogatari (Pokémon Diamond and Pearl Adventures!),7.29
Date Masamune,7.15
Superior Cross,7.7
Medaka Box,7.02
Oniisama e...Dear Brother,7.85
Bannou Kanteishi Q no Jikenbo,7.18
IGPX: Immortal Grand Prix (2005)IGPX: Immortal Grand Prix,7.07
Nasu: Suitcase no WataridoriNasu: A Migratory Bird with Suitcase,7.07
Kabe no Naka no Tenshi,7.67
Great Mazinger,7.07
Hameln no Violin-hiki: Shchelkunchik,7.04
Jungle wa Itsumo Hare nochi Guu DeluxeHaré+Guu Deluxe,7.78
Yuusha-Ou GaoGaiGar FinalGaoGaiGar Final,8.08
Pokemon (2019): Harukanaru Aoi Sora,7.24
Digimon Adventure 02,7.23
Hinata no AoshigureSonny Boy & Dewdrop Girl,6.88
Saint Seiya: Shinku no Shounen DensetsuSaint Seiya: Legend of Crimson Youth,7.21
Ballroom e YoukosoWelcome to the Ballroom,8.18
Tales of Eternia,7.37
I Don't Want This Kind of Hero,7.47
Butai Shoujo☆Kageki Revue Starlight: The Live #2 - Transition,7.05
"Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu (Saving 80,000 Gold in Another World for my Retirement)",7.43
Pale Cocoon,7.28
"Datte, Kimi ga Warau kara",7.63
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun TorimonochouOne Piece: The Detective Memoirs of Chief Straw Hat Luffy,7.2
The Baengri Clan's Unwanted Granddaughter,7.51
Quanzhi FashiFull-Time Magister,7.18
Otona no Manner,7.03
Night of the Beasts,7.48
Saiyuuki Gaiden: Kouga no Shou,7.18
Shangri-La,7.04
Chainsaw Man,8.53
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-henSamurai X: Reflection,7.97
Sekirei,7.54
I Love You yori Aishiteru,7.3
Bai She II: Qing She Jie QiWhite Snake 2: The Tribulation of the Green Snake,7.4
To LOVE-Ru Darkness 2nd OVA,7.52
Gokuto Jihen,7.2
"Natsu e no Tunnel, Sayonara no DeguchiThe Tunnel to Summer, the Exit of Goodbyes",7.87
Divine Melody,7.25
Tetsujin 28-gou (2004)Tetsujin 28,7.33
Kieta Hatsukoi (My Love Mix-Up!),8.35
Ling Long: Incarnation Final Chapter,7.03
Shuuen no Shiori,7.44
Ikenai Navigation,7.14
Kakkou no IinazukeA Couple of Cuckoos,6.91
Dinghai Fusheng LuDinghai Fusheng Records,6.89
Kara no Kyoukai Movie 5: Mujun RasenThe Garden of Sinners Chapter 5: Paradox Spiral,8.52
"Heroine? Seijo? Iie, All Works Maid desu (Hokori)! @comic (Heroine? Saint? No, I'm the ""Almighty Maid"" (Pride)!)",7.12
Akiba Meido SensouAkiba Maid War,7.62
Gorisen: Panic Mono de Massaki ni Shinu Type no Taiiku Kyoushi,7.26
Arslan Senki (TV)The Heroic Legend of Arslan,7.66
Meitantei Conan Movie 13: Shikkoku no ChaserDetective Conan Movie 13: The Raven Chaser,8.21
Paradise Kiss,7.86
Fate/stay night,7.55
Nobunaga no Chef,7.73
Persona 5 the Animation Specials,6.91
Park Hanhoo's Manager,7.67
Fate/strange Fake: Whispers of Dawn,8.23
Kowloon Generic Romance,7.7
Beck (BECK: Mongolian Chop Squad),8.69
King of Bandit Jing (Jing: King of Bandits - Twilight Tales),7.5
Renai nante Yurushimasen!,7.19
Knife Edge Girl,7.11
Maken no Daydreamer,7.03
Code Geass: Hangyaku no Lelouch - Kiseki no BirthdayCode Geass: Lelouch of the Rebellion - A Miraculous Birthday,6.82
Ginga: The Last Wars,7.06
Saint Seiya: Soul of Gold,7.06
Kare wa Hanazono de Yume wo Miru (Garden Dreams),7.03
Initial D Fourth Stage,8.16
Kidou Senshi Z Gundam I: Hoshi wo Tsugu MonoMobile Suit Zeta Gundam: A New Translation - Heir to the Stars,7.07
Watashi ni Tenshi ga Maiorita!WataTen! An Angel Flew Down to Me,7.28
Annarasumanara,8.27
Fushigi Yuugi: EikoudenMysterious Play: Eikoden,6.81
Kenkou Zenrakei Suiei-bu Umishou,7.12
Air in Summer,7.29
Sora Sora,7.08
Neko no Machi no Ko,7.1
Kamisama no Inai Nichiyoubi: KiokuSunday Without God: Memories,6.86
Chuugaku Onaji dakedo Shabetta Koto Nai Tomodachi,7.04
Nanbaka,7.33
All-Master Necromancer,7.11
Naruto: Shippuuden Movie 2 - KizunaNaruto Shippuden the Movie 2: Bonds,7.28
Tonari no Kaibutsu-kunMy Little Monster,7.47
Karakai Jouzu no Takagi-san: Water SlideTeasing Master Takagi-san: Water Slide,7.52
Meitantei Conan OVA 11: London kara no Maru Hi ShireiDetective Conan OVA 11: A Secret Order from London,7.4
"Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi FitzMushoku Tensei: Jobless Reincarnation 2nd Season - Episode 0 ""Guardian Fitz""",7.51
Yokohama Kaidashi Kikou,7.41
Boku no Hero Academia the Movie 3: World Heroes' MissionMy Hero Academia: World Heroes' Mission,7.58
Nyanko Days,7.0
Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,6.93
